BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
6s6d,100,0,0,0
6s2h,0,0,0,100
6s3h,0,0,0,100
6s4h,0,0,100,0
6s5h,0,0,100,0
6s6h,100,0,0,0
6s2s,0,0,100,0
6s3s,0,0,100,0
6s4s,0,0,100,0
6s5s,65.2173913,21.7391304,13.0434783,0
7s2c,0,0,0,100
7s3c,0,0,0,100
7s4c,0,0,0,100
7s5c,0,0,100,0
7s6c,25,0,75,0
7s7c,100,0,0,0
7s2d,0,0,0,100
7s3d,0,0,0,100
7s4d,0,0,0,100
7s5d,0,0,100,0
7s6d,25,0,75,0
7s7d,100,0,0,0
7s2h,0,0,0,100
7s3h,0,0,0,100
7s4h,0,0,0,100
7s5h,0,0,100,0
7s6h,25,0,75,0
7s7h,100,0,0,0
7s2s,0,0,100,0
7s3s,0,0,100,0
7s4s,0,0,100,0
7s5s,0,0,100,0
7s6s,43.4782609,43.4782609,13.0434783,0
8s2c,0,0,0,100
8s3c,0,0,0,100
8s4c,0,0,0,100
8s5c,0,0,75,25
8s6c,0,0,100,0
8s7c,0,0,100,0
8s8c,75,25,0,0
8s2d,0,0,0,100
8s3d,0,0,0,100
8s4d,0,0,0,100
8s5d,0,0,75,25
8s6d,0,0,100,0
8s7d,0,0,100,0
8s8d,75,25,0,0
8s2h,0,0,0,100
8s3h,0,0,0,100
8s4h,0,0,0,100
8s5h,0,0,75,25
8s6h,0,0,100,0
8s7h,0,0,100,0
8s8h,75,25,0,0
8s2s,0,0,100,0
8s3s,0,0,100,0
8s4s,0,0,100,0
8s5s,0,0,100,0
8s6s,75,0,25,0
8s7s,65.2173913,21.7391304,13.0434783,0
9s2c,0,0,0,100
9s3c,0,0,0,100
9s4c,0,0,0,100
9s5c,0,0,0,100
9s6c,0,0,100,0
9s7c,0,0,100,0
9s8c,0,0,100,0
9s9c,75,25,0,0
9s2d,0,0,0,100
9s3d,0,0,0,100
9s4d,0,0,0,100
9s5d,0,0,0,100
9s6d,0,0,100,0
9s7d,0,0,100,0
9s8d,0,0,100,0
9s9d,75,25,0,0
9s2h,0,0,0,100
9s3h,0,0,0,100
9s4h,0,0,0,100
9s5h,0,0,0,100
9s6h,0,0,100,0
9s7h,0,0,100,0
9s8h,0,0,100,0
9s9h,75,25,0,0
9s2s,0,0,100,0
9s3s,0,0,100,0
9s4s,0,0,100,0
9s5s,0,0,100,0
9s6s,25,0,75,0
9s7s,75,0,25,0
9s8s,0,50,50,0
Ts2c,0,0,0,100
Ts3c,0,0,0,100
Ts4c,0,0,0,100
Ts5c,0,0,0,100
Ts6c,0,0,100,0
Ts7c,0,25,75,0
Ts8c,0,0,100,0
Ts9c,0,0,100,0
TsTc,0,100,0,0
Ts2d,0,0,0,100
Ts3d,0,0,0,100
Ts4d,0,0,0,100
Ts5d,0,0,0,100
Ts6d,0,0,100,0
Ts7d,0,25,75,0
Ts8d,0,0,100,0
Ts9d,0,0,100,0
TsTd,0,100,0,0
Ts2h,0,0,0,100
Ts3h,0,0,0,100
Ts4h,0,0,0,100
Ts5h,0,0,0,100
Ts6h,0,0,100,0
Ts7h,0,25,75,0
Ts8h,0,0,100,0
Ts9h,0,0,100,0
TsTh,0,100,0,0
Ts2s,0,0,100,0
Ts3s,0,0,100,0
Ts4s,0,0,100,0
Ts5s,0,0,100,0
Ts6s,50,0,50,0
Ts7s,0,0,100,0
Ts8s,0,0,100,0
Ts9s,0,0,100,0
Js2c,0,0,0,100
Js3c,0,0,25,75
Js4c,0,0,50,50
Js5c,0,25,75,0
Js6c,0,0,75,25
Js7c,0,25,75,0
Js8c,0,0,100,0
Js9c,0,0,100,0
JsTc,0,0,100,0
JsJc,0,100,0,0
Js2d,0,0,0,100
Js3d,0,0,25,75
Js4d,0,0,50,50
Js5d,0,25,75,0
Js6d,0,0,75,25
Js7d,0,25,75,0
Js8d,0,0,100,0
Js9d,0,0,100,0
JsTd,0,0,100,0
JsJd,0,100,0,0
Js2h,0,0,0,100
Js3h,0,0,25,75
Js4h,0,0,50,50
Js5h,0,25,75,0
Js6h,0,0,75,25
Js7h,0,25,75,0
Js8h,0,0,100,0
Js9h,0,0,100,0
JsTh,0,0,100,0
JsJh,0,100,0,0
Js2s,0,0,100,0
Js3s,0,0,100,0
Js4s,0,0,100,0
Js5s,0,0,100,0
Js6s,0,0,100,0
Js7s,0,0,100,0
Js8s,0,0,100,0
Js9s,0,0,100,0
JsTs,0,50,50,0
Qs2c,0,25,75,0
Qs3c,0,25,75,0
Qs4c,0,25,75,0
Qs5c,0,25,75,0
Qs6c,25,0,75,0
Qs7c,0,0,100,0
Qs8c,0,0,100,0
Qs9c,0,25,75,0
QsTc,0,25,75,0
QsJc,0,25,75,0
QsQc,0,100,0,0
Qs2d,0,25,75,0
Qs3d,0,25,75,0
Qs4d,0,25,75,0
Qs5d,0,25,75,0
Qs6d,25,0,75,0
Qs7d,0,0,100,0
Qs8d,0,0,100,0
Qs9d,0,25,75,0
QsTd,0,25,75,0
QsJd,0,25,75,0
QsQd,0,100,0,0
Qs2h,0,25,75,0
Qs3h,0,25,75,0
Qs4h,0,25,75,0
Qs5h,0,25,75,0
Qs6h,25,0,75,0
Qs7h,0,0,100,0
Qs8h,0,0,100,0
Qs9h,0,25,75,0
QsTh,0,25,75,0
QsJh,0,25,75,0
QsQh,0,100,0,0
Qs2s,0,0,100,0
Qs3s,0,0,100,0
Qs4s,0,0,100,0
Qs5s,0,0,100,0
Qs6s,50,0,50,0
Qs7s,0,0,100,0
Qs8s,0,0,100,0
Qs9s,0,0,100,0
QsTs,0,0,100,0
QsJs,0,0,100,0
Ks2c,0,25,75,0
Ks3c,0,25,75,0
Ks4c,0,25,75,0
Ks5c,20,20,60,0
Ks6c,75,0,25,0
Ks7c,0,0,100,0
Ks8c,0,0,100,0
Ks9c,0,50,50,0
KsTc,0,25,75,0
KsJc,50,0,50,0
KsQc,75,0,25,0
KsKc,0,100,0,0
Ks2d,0,25,75,0
Ks3d,0,25,75,0
Ks4d,0,25,75,0
Ks5d,20,20,60,0
Ks6d,75,0,25,0
Ks7d,0,0,100,0
Ks8d,0,0,100,0
Ks9d,0,50,50,0
KsTd,0,25,75,0
KsJd,50,0,50,0
KsQd,75,0,25,0
KsKd,0,100,0,0
Ks2h,0,25,75,0
Ks3h,0,25,75,0
Ks4h,0,25,75,0
Ks5h,20,20,60,0
Ks6h,75,0,25,0
Ks7h,0,0,100,0
Ks8h,0,0,100,0
Ks9h,0,50,50,0
KsTh,0,25,75,0
KsJh,50,0,50,0
KsQh,75,0,25,0
KsKh,0,100,0,0
Ks2s,0,0,100,0
Ks3s,0,0,100,0
Ks4s,0,0,100,0
Ks5s,25,0,75,0
Ks6s,25,0,75,0
Ks7s,0,0,100,0
Ks8s,0,0,100,0
Ks9s,0,0,100,0
KsTs,0,0,100,0
KsJs,0,0,100,0
KsQs,0,50,50,0
As2c,50,25,25,0
As3c,75,0,25,0
As4c,75,0,25,0
As5c,50,0,50,0
As6c,50,25,25,0
As7c,75,25,0,0
As8c,100,0,0,0
As9c,100,0,0,0
AsTc,100,0,0,0
AsJc,100,0,0,0
AsQc,100,0,0,0
AsKc,100,0,0,0
AsAc,0,100,0,0
As2d,50,25,25,0
As3d,75,0,25,0
As4d,75,0,25,0
As5d,50,0,50,0
As6d,50,25,25,0
As7d,75,25,0,0
As8d,100,0,0,0
As9d,100,0,0,0
AsTd,100,0,0,0
AsJd,100,0,0,0
AsQd,100,0,0,0
AsKd,100,0,0,0
AsAd,0,100,0,0
As2h,50,25,25,0
As3h,75,0,25,0
As4h,75,0,25,0
As5h,50,0,50,0
As6h,50,25,25,0
As7h,75,25,0,0
As8h,100,0,0,0
As9h,100,0,0,0
AsTh,100,0,0,0
AsJh,100,0,0,0
AsQh,100,0,0,0
AsKh,100,0,0,0
AsAh,0,100,0,0
As2s,0,0,100,0
As3s,25,0,75,0
As4s,0,0,100,0
As5s,25,0,75,0
As6s,0,0,100,0
As7s,0,0,100,0
As8s,25,50,25,0
As9s,50,50,0,0
AsTs,0,100,0,0
AsJs,25,75,0,0
AsQs,0,100,0,0
AsKs,0,100,0,0
